"","StateName","StateMean","Variance","ElectoralVotes","BPI"
"1","Alabama",0.619323510705329,0.00521027253563234,9,14.53
"2","Alaska",0.520787233901613,0.00387042246738256,3,9
"3","Arizona",0.484427000430199,0.00461744580220279,11,4.2
"4","Arkansas",0.66909680263556,0.00492674641912369,6,15.58
"5","California",0.359330034533208,0.00198216504740543,55,-12.96
"6","Colorado",0.439657321217058,0.00163810706340361,9,-1.26
"7","Connecticut",0.41484746012372,0.0032886833868923,7,-6.95
"8","Delaware",0.443293312927267,0.0038586833868923,3,-7.14
"9","District of Columbia",0.110265808256422,0.0037986833868923,3,-42.87
"10","Florida",0.488522470709324,0.00443217063350506,29,2.84
"11","Georgia",0.498783662666461,0.0046048412501578,16,4.99
"12","Hawaii",0.349475442176937,0.00370917091700583,4,-18.5
"13","Idaho",0.608204342235883,0.00379860931281823,4,18.41
"14","Illinois",0.430976627030397,0.00314709662073589,20,-7.29
"15","Indiana",0.553843622354093,0.0054823961608854,11,9.6
"16","Iowa",0.504484784761276,0.00218451134774245,6,3.35
"17","Kansas",0.554991223488348,0.00497194785688184,6,11.64
"18","Kentucky",0.60212053530789,0.00486662200585517,8,15.08
"19","Louisiana",0.615843251794312,0.00381939215129508,8,12.17
"20","Maine",0.420420488782156,0.00231567794646475,3,-2.89
"21","Maine CD-2",0.502370336107498,0.00235928240392414,1,3.51
"22","Maryland",0.358200473394214,0.00295650026017676,10,-12.25
"23","Massachusetts",0.36353212224736,0.00295169195235219,11,-16.04
"24","Michigan",0.470135848218386,0.00503930409264559,16,-0.3
"25","Minnesota",0.46303347288874,0.00297040778837783,10,-0.85
"26","Mississippi",0.58776724011557,0.0061611833868923,6,9.18
"27","Missouri",0.540563097984525,0.00422956605419764,10,9.62
"28","Montana",0.539508021206098,0.003547113214739,3,9.76
"29","Nebraska",0.568729842701308,0.0031986833868923,4,14.39
"30","Nebraska CD-2",0.48116680216487,0.00339411435945584,1,3.26
"31","Nevada",0.469179290516299,0.00436629893575847,6,0.12
"32","New Hampshire",0.452406433032603,0.00477269024099628,4,-0.21
"33","New Jersey",0.408175961505364,0.00297695670489237,14,-6.18
"34","New Mexico",0.444870855645769,0.00474756114766996,5,-4.14
"35","New York",0.358182920589638,0.00433346695508148,29,-11.53
"36","North Carolina",0.492592006884668,0.00386486504587801,15,3.51
"37","North Dakota",0.584703577501825,0.0024502513868923,3,17.04
"38","Ohio",0.508823871379615,0.00502433470492961,18,4.55
"39","Oklahoma",0.613802008399416,0.00446619495030341,7,19.38
"40","Oregon",0.427093478020874,0.000877465913714634,7,-5.29
"41","Pennsylvania",0.472050832679946,0.00435879273693269,20,0.6
"42","Rhode Island",0.425445186312509,0.0039186833868923,4,-9.39
"43","South Carolina",0.526244495055218,0.00487896973994175,9,8.67
"44","South Dakota",0.601612694379003,0.0050788433868923,3,15.26
"45","Tennessee",0.618844571640094,0.0052386833868923,11,13.93
"46","Texas",0.504082439273688,0.00517628844454594,38,7.2
"47","Utah",0.570797125387339,0.00274182777985601,6,16.94
"48","Vermont",0.383256709140165,0.00403732587258539,3,-15.75
"49","Virginia",0.451027893286472,0.00542476091013869,13,-1.13
"50","Washington",0.406136718055098,0.00300839061903361,12,-7.44
"51","West Virginia",0.638425014414999,0.00386369298908709,5,18.16
"52","Wisconsin",0.467577574304149,0.00369829611945643,10,0.39
"53","Wyoming",0.684224795307416,0.0041136833868923,3,24.64
