"StateName","StateMean","StateVariance","ElectoralVotes"
"Alabama","63.78165590669484","0","9"
"Alaska","52.77679776110112","0","3"
"Arizona","47.60571216738141","0","11"
"Arkansas","69.4233082638575","0","6"
"California","34.791400979201875","0","55"
"Colorado","42.133961380507984","0","9"
"Connecticut","41.48474601237203","0","7"
"Delaware","44.329331292726664","0","3"
"District of Columbia","11.026580825642181","0","3"
"Florida","47.918731652558805","0","29"
"Georgia","50.68907525621074","0","16"
"Hawaii","35.733641679701805","0","4"
"Idaho","59.816422717776355","0","4"
"Illinois","42.90047367637584","0","20"
"Indiana","55.36436193255918","0","11"
"Iowa","55.065033748342984","0","6"
"Kansas","56.48711638502084","0","6"
"Kentucky","62.01668733450519","0","8"
"Louisiana","62.95443783218161","0","8"
"Maine","50.88310332297549","0","3"
"Maine CD-2","54.81230783420574","0","1"
"Maryland","36.80462739126622","0","10"
"Massachusetts","39.51597217177817","0","11"
"Michigan","49.70076535364165","0","16"
"Minnesota","49.38558041906252","0","10"
"Mississippi","60.830568518566494","0","6"
"Missouri","57.01447383634948","0","10"
"Montana","56.041355675904526","0","3"
"Nebraska","56.87298427013075","0","4"
"Nebraska CD-2","52.62298427013075","0","1"
"Nevada","45.31821924781054","0","6"
"New Hampshire","45.747598145644396","0","4"
"New Jersey","41.11662489773599","0","14"
"New Mexico","47.737499002196955","0","5"
"New York","36.845953154833396","0","29"
"North Carolina","53.22380328641245","0","15"
"North Dakota","57.85603975326938","0","3"
"Ohio","52.76018596974072","0","18"
"Oklahoma","61.7929952174477","0","7"
"Oregon","43.12160422418944","0","7"
"Pennsylvania","49.580234375205265","0","20"
"Rhode Island","42.54451863125088","0","4"
"South Carolina","47.703933656434714","0","9"
"South Dakota","62.69614426630366","0","3"
"Tennessee","61.88445716400945","0","11"
"Texas","48.853859652914494","0","38"
"Utah","58.001244550998194","0","6"
"Vermont","38.287476771511216","0","3"
"Virginia","46.8385351595716","0","13"
"Washington","43.991815452883785","0","12"
"West Virginia","67.62399008121758","0","5"
"Wisconsin","50.48308793894611","0","10"
"Wyoming","68.42247953074158","0","3"
