"","State","Mean","BidenWins","TrumpWins","ElectoralVotes","BPI"
"1","Alabama",0.619195649229957,53439,946561,9,14.53
"2","Alaska",0.520771415850288,370892,629108,3,9
"3","Arizona",0.484468283420211,587817,412183,11,4.2
"4","Arkansas",0.669015513060321,9445,990555,6,15.58
"5","California",0.359248534655915,993605,6395,55,-12.96
"6","Colorado",0.439686574681613,925041,74959,9,-1.26
"7","Connecticut",0.414857241883486,928417,71583,7,-6.95
"8","Delaware",0.443321906818848,815934,184066,3,-7.14
"9","District of Columbia",0.110249142570876,1e+06,0,3,-42.87
"10","Florida",0.488573167843119,567200,432800,29,2.84
"11","Georgia",0.498713049107858,506521,493479,16,4.99
"12","Hawaii",0.349460813578534,991832,8168,4,-18.5
"13","Idaho",0.608206109131404,41787,958213,4,18.41
"14","Illinois",0.430946543906669,887042,112958,20,-7.29
"15","Indiana",0.553723750487686,235867,764133,11,9.6
"16","Iowa",0.504452812066858,462847,537153,6,3.35
"17","Kansas",0.554933706411573,220327,779673,6,11.64
"18","Kentucky",0.60209302586933,73943,926057,8,15.08
"19","Louisiana",0.615729677867837,45221,954779,8,12.17
"20","Maine",0.420456468225487,946910,53090,3,-2.89
"21","Maine CD-2",0.502452338093267,480148,519852,1,3.51
"22","Maryland",0.358161643850532,987329,12671,10,-12.25
"23","Massachusetts",0.363493406551972,993265,6735,11,-16.04
"24","Michigan",0.470132525871634,661859,338141,16,-0.3
"25","Minnesota",0.462975441996743,747861,252139,10,-0.85
"26","Mississippi",0.587737812996279,157321,842679,6,9.18
"27","Missouri",0.540583760220865,268912,731088,10,9.62
"28","Montana",0.539470481548731,256714,743286,3,9.76
"29","Nebraska",0.5687119235865,116083,883917,4,14.39
"30","Nebraska CD-2",0.481163873894677,624466,375534,1,3.26
"31","Nevada",0.469206758732379,672855,327145,6,0.12
"32","New Hampshire",0.45245584758614,752721,247279,4,-0.21
"33","New Jersey",0.408245740847428,947359,52641,14,-6.18
"34","New Mexico",0.444826823727945,774303,225697,5,-4.14
"35","New York",0.358180611728854,983370,16630,29,-11.53
"36","North Carolina",0.492587892330832,547238,452762,15,3.51
"37","North Dakota",0.584743364364381,47079,952921,3,17.04
"38","Ohio",0.508873563019617,450630,549370,18,4.55
"39","Oklahoma",0.613763904040293,46249,953751,7,19.38
"40","Oregon",0.427088692255936,990139,9861,7,-5.29
"41","Pennsylvania",0.47199428332467,662823,337177,20,0.6
"42","Rhode Island",0.425523599609593,879597,120403,4,-9.39
"43","South Carolina",0.526179477094094,356607,643393,9,8.67
"44","South Dakota",0.601634598585063,79549,920451,3,15.26
"45","Tennessee",0.618856588159651,52557,947443,11,13.93
"46","Texas",0.504004702811946,479014,520986,38,7.2
"47","Utah",0.570818331311597,93596,906404,6,16.94
"48","Vermont",0.383276565374791,965107,34893,3,-15.75
"49","Virginia",0.450937236424729,745024,254976,13,-1.13
"50","Washington",0.406142369599236,953669,46331,12,-7.44
"51","West Virginia",0.638309846762418,14142,985858,5,18.16
"52","Wisconsin",0.467513878103446,700680,299320,10,0.39
"53","Wyoming",0.684262096072263,2241,997759,3,24.64
